ID,Project_Code,PQ,PO_SO,ASN_DN,Country,Managed_By,Fulfill_Via,Vendor_INCO_Term,Shipment_Mode,Product_Group,Sub_Classification,Vendor,Item_Description,Molecule_Test_Type,Brand,Dosage,Dosage_Form,Unit_of_Measure_Per_Pack,Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,Manufacturing_Site,First_Line_Designation,PO_Sent_to_Vendor_Date,Scheduled_Delivery_Date,Delivered_to_Client_Date,Delivery_Recorded_Date,Delivery_Delay_Days,Weight_Kilograms,Freight_Cost_USD,Line_Item_Insurance_USD,Year,Month,Quarter,Month_Name
3062,PC-69711,PQ,PO405617,ASN62967,Côte d'Ivoire,PMO - NG,From RDC,FCA,Air,Safety,Sub-2,"Aurobindo Unit III, India",Medicine T 100mg,Type-2,Brand-B,50mg,Tablet,100,9397,2954.82,224.41,5.36,Cipla,Yes,2015-08-17,2015-09-16,2015-09-15,2015-09-16,-1,9952.01,27974.79,29.55,2015,9,3,September
3063,PC-16816,PQ,PO810958,ASN43063,Haiti,PMO - US,From RDC,CIF,Air,HIV test,Sub-3,Matrix Laboratories,Medicine U 100mg,Type-3,Brand-C,500mg,Tablet,100,6087,56920.59,249.18,1.32,Cipla,Yes,2015-07-06,2015-08-18,2015-08-15,2015-08-16,-3,5687.25,25139.53,569.21,2015,8,3,August
3064,PC-87175,PQ,PO116040,ASN32340,Vietnam,PMO - NG,From RDC,DDP,Ocean,HRDT,Sub-4,,Medicine V 100mg,Type-4,Brand-D,50mg,Tablet,100,3093,75458.43,327.46,4.03,Matrix,Yes,2015-01-13,2015-02-28,2015-03-01,2015-03-01,1,2947.93,1514.23,754.58,2015,3,1,March
3065,PC-74307,PQ,PO169806,ASN85723,Uganda,PMO - SA,Direct Drop,EXW,Air,Emergency,Sub-5,Ranbaxy Fine Chemicals Limited,Medicine W 100mg,Type-5,Brand-E,200mg,Capsule,30,8822,79271.08,66.7,7.54,Ranbaxy,Yes,2015-01-11,2015-03-18,2015-03-18,2015-03-18,0,2616.32,9043.23,792.71,2015,3,1,March
3066,PC-56733,PQ,PO768646,ASN65430,Zimbabwe,PMO - NG,Direct Drop,DDP,Air Charter,Emergency,Sub-6,Hetero Unit III India,Medicine X 100mg,Type-6,Brand-F,100mg,Tablet,100,4962,91240.19,415.16,7.39,Cipla,No,2015-04-08,2015-05-24,2015-05-25,2015-05-29,1,4599.66,32496.75,912.4,2015,5,2,May
3067,PC-21240,PQ,PO300211,ASN16668,South Africa,PMO - SA,Direct Drop,EXW,Ocean,Emergency,Sub-7,Cipla Ltd.,Medicine Y 100mg,Type-7,Brand-G,200mg,Capsule,60,3540,23678.38,419.28,7.74,Cipla,Yes,2015-01-15,2015-03-15,2015-03-15,2015-03-18,0,1919.41,2746.55,236.78,2015,3,1,March
3068,PC-81363,PQ,PO736364,ASN90880,Zimbabwe,PMO - US,Direct Drop,CIF,Air,ANTIMALARIALS,Sub-8,"Aurobindo Unit III, India",Medicine Z 100mg,Type-8,Brand-H,100mg,Tablet,120,2096,74102.18,272.82,4.73,Ranbaxy,Yes,2015-01-12,2015-03-12,2015-03-12,2015-03-13,0,2519.08,8371.25,741.02,2015,3,1,March
3069,PC-42762,PQS,PO155916,ASN18195,Zambia,PMO - US,From RDC,FCA,Ocean,Safety,Sub-9,"Aurobindo Unit III, India",Medicine A 100mg,Type-9,Brand-I,100mg,Capsule,30,9033,82882.71,97.84,3.75,Hetero Unit III,No,2015-04-12,2015-06-29,2015-07-29,2015-07-30,30,2305.68,3064.77,828.83,2015,7,3,July
3070,PC-18259,PQS,PO772960,ASN92097,Uganda,PMO - NG,From RDC,FCA,Air Charter,ANTIMALARIALS,Sub-10,"Aurobindo Unit III, India",Medicine B 100mg,Type-10,Brand-J,500mg,Tablet,100,1174,83791.26,252.88,8.33,Matrix,No,2015-03-04,2015-05-25,2015-05-25,2015-05-28,0,1099.9,6408.14,837.91,2015,5,2,May
3071,PC-60139,PQ,PO495507,ASN67995,Nigeria,PMO - US,From RDC,EXW,Air,HRDT,Sub-11,Hetero Unit III India,Medicine C 100mg,Type-11,Brand-A,200mg,Tablet,60,7628,41742.81,57.44,1.82,Matrix,Yes,2015-04-05,2015-07-02,2015-06-27,2015-06-27,-5,4660.72,11315.01,417.43,2015,6,2,June
3072,PC-24849,PQ,PO506339,ASN97834,South Africa,PMO - US,Direct Drop,CIF,Air,HRDT,Sub-12,Hetero Unit III India,Medicine D 100mg,Type-12,Brand-B,50mg,Tablet,90,966,62972.32,382.83,7.28,Aurobindo Unit III,No,2015-04-19,2015-07-08,2015-07-22,2015-07-24,14,953.93,3215.54,629.72,2015,7,3,July
3073,PC-91768,PQ,PO890243,ASN48250,Uganda,PMO - NG,From RDC,FCA,Truck,HRDT,Sub-13,Hetero Unit III India,Medicine E 100mg,Type-13,Brand-C,100mg,Solution,60,3882,55604.97,159.02,8.89,Matrix,Yes,2015-01-24,2015-04-16,2015-04-23,2015-04-27,7,2315.3,1410.68,556.05,2015,4,2,April
3074,PC-99709,PQ,PO655564,ASN26076,Haiti,PMO - US,Direct Drop,CIF,Ocean,Emergency,Sub-14,"Aurobindo Unit III, India",Medicine F 100mg,Type-14,Brand-D,200mg,Capsule,120,9484,60151.11,158.99,2.93,Aurobindo Unit III,Yes,2015-06-13,2015-09-09,2015-09-10,2015-09-11,1,9892.0,10135.99,601.51,2015,9,3,September
3075,PC-64869,PQS,PO285217,ASN25376,Zimbabwe,PMO - SA,From RDC,CIF,Truck,HRDT,Sub-15,Ranbaxy Fine Chemicals Limited,Medicine G 100mg,Type-15,Brand-E,500mg,Capsule,60,4121,28921.09,472.8,2.06,Hetero Unit III,Yes,2015-04-04,2015-06-22,2015-06-23,2015-06-23,1,2457.12,2337.57,289.21,2015,6,2,June
3076,PC-73095,PQ,PO967481,ASN65839,Zambia,PMO - SA,From RDC,EXW,Ocean,Safety,Sub-16,"Aurobindo Unit III, India",Medicine H 100mg,Type-1,Brand-F,50mg,Tablet,60,9462,68640.21,213.82,5.17,Ranbaxy,Yes,2015-07-25,2015-09-05,2015-09-05,2015-09-09,0,5357.56,5990.74,686.4,2015,9,3,September
3077,PC-80910,PQ,PO301750,ASN74723,Uganda,PMO - US,From RDC,CIF,Air,ANTIMALARIALS,Sub-17,Hetero Unit III India,Medicine I 100mg,Type-2,Brand-G,50mg,Tablet,30,4283,71291.71,395.84,2.24,Cipla,Yes,2015-09-25,2015-12-11,2015-12-10,2015-12-14,-1,1290.76,2929.99,712.92,2015,12,4,December
3078,PC-96710,PQ,PO319854,ASN53442,Nigeria,PMO - US,Direct Drop,CIF,Air,HIV test,Sub-18,Hetero Unit III India,Medicine J 100mg,Type-3,Brand-H,50mg,Tablet,120,7569,20398.89,320.4,8.72,Aurobindo Unit III,Yes,2015-04-14,2015-06-25,2015-06-25,2015-06-29,0,9930.31,32692.46,203.99,2015,6,2,June
3079,PC-33567,PQ,PO846403,ASN15392,Vietnam,PMO - SA,From RDC,EXW,Air,HRDT,Sub-19,Cipla Ltd.,Medicine K 100mg,Type-4,Brand-I,200mg,Solution,100,690,44919.61,161.51,2.52,Matrix,No,2015-07-20,2015-09-21,2015-09-21,2015-09-25,0,683.4,2301.17,449.2,2015,9,3,September
3080,PC-45292,PQ,PO811045,ASN37106,Vietnam,PMO - US,From RDC,FCA,Truck,ANTIMALARIA,Sub-20,Matrix Laboratories,Medicine L 100mg,Type-5,Brand-J,200mg,Tablet,120,7291,42788.45,66.28,3.21,Cipla,No,2015-03-21,2015-04-30,2015-05-03,2015-05-05,3,8913.22,7827.75,427.88,2015,5,2,May
3081,PC-84813,PQ,PO767554,ASN89845,Uganda,PMO - SA,Direct Drop,DDP,Truck,ANTIMALARIALS,Sub-1,Cipla Ltd.,Medicine M 100mg,Type-6,Brand-A,50mg,Tablet,90,2324,75146.11,399.88,8.9,Hetero Unit III,Yes,2015-08-08,2015-09-09,2015-09-09,2015-09-11,0,2248.78,1488.61,751.46,2015,9,3,September
3082,PC-61631,PQ,PO435206,ASN34809,Zambia,PMO - NG,From RDC,CIF,Truck,ARV,Sub-2,Cipla Ltd.,Medicine N 100mg,Type-7,Brand-B,500mg,Capsule,120,7454,66983.8,382.44,2.14,Ranbaxy,Yes,2015-07-04,2015-08-16,2015-08-16,2015-08-19,0,9794.5,5902.45,669.84,2015,8,3,August
3083,PC-19885,PQ,PO250434,ASN10693,Zimbabwe,PMO - SA,From RDC,EXW,Truck,HIV test,Sub-3,"Aurobindo Unit III, India",Medicine O 100mg,Type-8,,50mg,Solution,30,5433,48143.39,88.74,8.86,Aurobindo Unit III,Yes,2015-03-09,2015-05-30,2015-05-31,2015-05-31,1,1531.41,603.52,481.43,2015,5,2,May
3084,PC-69659,PQS,PO940931,ASN69821,South Africa,PMO - US,Direct Drop,FCA,Air Charter,ANTIMALARIALS,Sub-4,Matrix Laboratories,Medicine P 100mg,Type-9,Brand-D,50mg,Capsule,100,6233,65600.6,128.31,2.18,Matrix,Yes,2015-05-05,2015-06-20,2015-06-20,2015-06-23,0,6531.08,46497.64,656.01,2015,6,2,June
3085,PC-64306,PQS,PO670569,ASN84159,Haiti,PMO - US,Direct Drop,CIF,Ocean,HRDT,Sub-5,Matrix Laboratories,Medicine Q 100mg,Type-10,Brand-E,500mg,Solution,120,4945,27023.3,384.29,9.13,Cipla,No,2015-08-06,2015-10-01,2015-10-31,2015-11-02,30,5872.57,7467.06,270.23,2015,10,4,October
3086,PC-76314,PQ,PO931284,ASN84710,Haiti,PMO - SA,Direct Drop,DDP,Air Charter,Emergency,Sub-6,"Aurobindo Unit III, India",Medicine R 100mg,Type-11,Brand-F,500mg,Solution,100,9908,24002.44,491.9,3.24,Cipla,Yes,2015-07-11,2015-10-08,2015-10-09,2015-10-13,1,9464.04,45440.88,240.02,2015,10,4,October
3087,PC-75087,PQ,PO886408,ASN21352,South Africa,PMO - SA,Direct Drop,FCA,Air,Safety,Sub-7,Ranbaxy Fine Chemicals Limited,Medicine S 100mg,Type-12,Brand-G,500mg,Capsule,30,5004,24752.05,422.6,2.54,Cipla,Yes,2015-01-09,2015-03-10,2015-03-17,2015-03-19,7,1181.99,4706.91,247.52,2015,3,1,March
3088,PC-39165,PQ,PO877981,ASN62196,Côte d'Ivoire,PMO - US,From RDC,EXW,Ocean,ANTIMALARIA,Sub-8,"Aurobindo Unit III, India",Medicine T 100mg,Type-13,Brand-H,50mg,Capsule,60,4998,3920.27,343.66,4.82,Ranbaxy,Yes,2015-01-01,2015-03-18,2015-03-21,2015-03-25,3,3413.75,1993.1,39.2,2015,3,1,March
3089,PC-68929,PQ,PO604869,ASN81066,Zimbabwe,PMO - US,From RDC,CIF,Ocean,ARV,Sub-9,Ranbaxy Fine Chemicals Limited,Medicine U 100mg,Type-14,Brand-I,500mg,Solution,90,2595,69416.55,458.14,3.76,Aurobindo Unit III,Yes,2015-07-23,2015-10-08,2015-10-07,2015-10-11,-1,2989.63,3222.53,694.17,2015,10,4,October
3090,PC-77028,PQ,PO803196,ASN14992,Haiti,PMO - US,Direct Drop,EXW,Truck,HIV test,Sub-10,Ranbaxy Fine Chemicals Limited,Medicine V 100mg,Type-15,Brand-J,200mg,Solution,120,9496,98598.96,146.19,2.1,Ranbaxy,No,2015-05-03,2015-07-24,2015-07-29,2015-07-31,5,10628.52,7227.85,985.99,2015,7,3,July
3091,PC-59812,PQ,PO628883,ASN63076,Côte d'Ivoire,PMO - NG,From RDC,DDP,Ocean,HRDT,Sub-11,Matrix Laboratories,Medicine W 100mg,Type-1,Brand-A,500mg,Tablet,100,8456,31594.18,9.78,3.45,Matrix,No,2015-05-19,2015-07-07,2015-07-07,2015-07-07,0,8883.5,5552.07,315.94,2015,7,3,July
3092,PC-60500,PQ,PO720218,ASN33354,Côte d'Ivoire,PMO - NG,From RDC,DDP,Air Charter,ANTIMALARIALS,Sub-12,"Aurobindo Unit III, India",Medicine X 100mg,Type-2,Brand-B,50mg,Tablet,120,2583,93053.5,163.88,7.16,Aurobindo Unit III,Yes,2015-09-18,2015-10-27,2015-11-10,2015-11-14,14,2967.31,19734.21,930.54,2015,11,4,November
3093,PC-89151,PQ,PO246474,ASN13312,Zambia,PMO - SA,Direct Drop,EXW,Ocean,ANTIMALARIALS,Sub-13,"Aurobindo Unit III, India",Medicine Y 100mg,Type-3,Brand-C,100mg,Capsule,30,3701,61047.72,486.11,8.34,Hetero Unit III,No,2015-02-05,2015-04-29,2015-05-04,2015-05-08,5,1197.37,702.71,610.48,2015,5,2,May
3094,PC-68643,PQ,PO361745,ASN55833,Zambia,PMO - SA,From RDC,CIF,Air Charter,HIV test,Sub-14,Matrix Laboratories,Medicine Z 100mg,Type-4,Brand-D,100mg,Solution,60,3427,23268.49,441.58,8.23,Hetero Unit III,Yes,2015-01-09,2015-03-16,2015-03-21,2015-03-23,5,2067.29,14992.64,232.68,2015,3,1,March
3095,PC-54900,PQ,PO820643,ASN14318,Zambia,PMO - NG,From RDC,EXW,Truck,ANTIMALARIA,Sub-15,Cipla Ltd.,Medicine A 100mg,Type-5,Brand-E,200mg,Capsule,30,2100,2174.6,29.93,7.59,Ranbaxy,Yes,2015-02-21,2015-04-27,2015-04-27,2015-04-30,0,721.68,293.27,21.75,2015,4,2,April
3096,PC-52946,PQS,PO454820,ASN76003,Nigeria,PMO - NG,From RDC,FCA,Air,Emergency,Sub-16,"Aurobindo Unit III, India",Medicine B 100mg,Type-6,Brand-F,100mg,Tablet,100,5355,72649.41,253.47,0.15,Ranbaxy,Yes,2015-07-12,2015-09-14,2015-09-14,2015-09-16,0,5511.94,18077.32,726.49,2015,9,3,September
3097,PC-17851,PQ,PO798083,ASN37192,Zimbabwe,PMO - SA,Direct Drop,EXW,Truck,Safety,Sub-17,Hetero Unit III India,Medicine C 100mg,Type-7,Brand-G,100mg,Tablet,120,4672,69960.85,44.11,4.32,Ranbaxy,Yes,2015-02-19,2015-03-23,2015-03-28,2015-03-31,5,4457.26,3992.0,699.61,2015,3,1,March
3098,PC-26288,PQ,PO282394,ASN99199,South Africa,PMO - NG,From RDC,DDP,Ocean,HRDT,Sub-18,Hetero Unit III India,Medicine D 100mg,Type-8,Brand-H,100mg,Tablet,100,6996,23696.08,395.57,1.77,Hetero Unit III,No,2015-05-23,2015-07-06,2015-07-06,2015-07-08,0,5363.33,3028.81,236.96,2015,7,3,July
3099,PC-82692,PQ,PO802124,ASN47489,Zimbabwe,PMO - SA,From RDC,CIF,Ocean,HIV test,Sub-19,"Aurobindo Unit III, India",Medicine E 100mg,Type-9,Brand-I,200mg,Solution,30,5333,33937.8,189.44,0.83,Hetero Unit III,Yes,2015-08-20,2015-10-29,2015-10-30,2015-11-01,1,1557.76,2026.74,339.38,2015,10,4,October
3100,PC-77580,PQS,PO518127,ASN50309,Zambia,PMO - US,From RDC,CIF,Truck,HIV test,Sub-20,Ranbaxy Fine Chemicals Limited,Medicine F 100mg,Type-10,Brand-J,100mg,Capsule,120,2464,89906.63,456.41,7.39,Aurobindo Unit III,Yes,2015-08-15,2015-09-15,2015-09-18,2015-09-22,3,2273.74,1871.6,899.07,2015,9,3,September
3101,PC-17368,PQS,PO846648,ASN38273,Nigeria,PMO - SA,Direct Drop,DDP,Ocean,ANTIMALARIALS,Sub-1,Matrix Laboratories,Medicine G 100mg,Type-11,Brand-A,50mg,Solution,100,8223,16566.1,31.95,7.96,Aurobindo Unit III,Yes,2015-02-26,2015-05-03,2015-05-03,2015-05-03,0,8342.06,6604.83,165.66,2015,5,2,May
3102,PC-95436,PQS,PO905837,ASN57553,Zimbabwe,PMO - NG,Direct Drop,DDP,Ocean,HIV test,Sub-2,Ranbaxy Fine Chemicals Limited,Medicine H 100mg,Type-12,Brand-B,100mg,Solution,120,5928,83708.94,368.33,8.16,Ranbaxy,Yes,2015-08-31,2015-10-03,2015-10-08,2015-10-10,5,7216.48,10071.83,837.09,2015,10,4,October
3103,PC-56403,PQ,PO158122,ASN39473,Zimbabwe,PMO - NG,From RDC,FCA,Ocean,ARV,Sub-3,Hetero Unit III India,Medicine I 100mg,Type-13,Brand-C,500mg,Tablet,90,1310,17753.12,202.69,8.91,Cipla,Yes,2015-09-26,2015-10-26,2015-10-26,2015-10-29,0,1059.94,1499.72,177.53,2015,10,4,October
3104,PC-19168,PQ,PO854849,ASN71410,Côte d'Ivoire,PMO - NG,From RDC,DDP,Air,ARV,Sub-4,Hetero Unit III India,Medicine J 100mg,Type-14,,100mg,Tablet,30,6946,48690.99,137.77,5.94,Aurobindo Unit III,Yes,2015-09-20,2015-12-12,2015-12-09,2015-12-13,-3,2206.42,9255.36,486.91,2015,12,4,December
3105,PC-96497,PQS,PO332661,ASN23679,Zimbabwe,PMO - SA,Direct Drop,DDP,Ocean,HRDT,Sub-5,Matrix Laboratories,Medicine K 100mg,Type-15,Brand-E,100mg,Capsule,30,1898,50397.56,261.14,9.98,Hetero Unit III,No,2015-08-29,2015-11-21,2015-11-26,2015-11-28,5,584.77,775.96,503.98,2015,11,4,November
3106,PC-59879,PQ,PO753197,ASN55310,Côte d'Ivoire,PMO - NG,Direct Drop,DDP,Ocean,HIV test,Sub-6,Hetero Unit III India,Medicine L 100mg,Type-1,Brand-F,50mg,Solution,90,646,47736.87,245.32,4.89,Matrix,Yes,2015-01-18,2015-03-06,2015-03-06,2015-03-08,0,592.54,382.19,477.37,2015,3,1,March
3107,PC-69871,PQ,PO365591,ASN93406,Côte d'Ivoire,PMO - SA,Direct Drop,CIF,Truck,ANTIMALARIALS,Sub-7,Cipla Ltd.,Medicine M 100mg,Type-2,Brand-G,200mg,Capsule,60,8333,29505.03,177.66,8.85,Cipla,Yes,2015-06-19,2015-09-08,2015-09-15,2015-09-17,7,5523.78,3367.16,295.05,2015,9,3,September
3108,PC-99388,PQS,PO284215,ASN70683,Uganda,PMO - US,Direct Drop,DDP,Air,Emergency,Sub-8,Hetero Unit III India,Medicine N 100mg,Type-3,Brand-H,200mg,Capsule,100,1848,26083.11,326.18,1.22,Hetero Unit III,Yes,2015-04-29,2015-06-02,2015-06-05,2015-06-05,3,1912.27,9388.59,260.83,2015,6,2,June
3109,PC-42174,PQ,PO110662,ASN35992,Zambia,PMO - US,From RDC,EXW,Ocean,HRDT,Sub-9,Ranbaxy Fine Chemicals Limited,Medicine O 100mg,Type-4,Brand-I,100mg,Capsule,60,7552,73582.32,332.35,1.57,Cipla,Yes,2015-03-17,2015-05-10,2015-05-17,2015-05-20,7,4075.58,2427.95,735.82,2015,5,2,May
3110,PC-16581,PQ,PO556217,ASN39433,Haiti,PMO - NG,Direct Drop,EXW,Truck,ANTIMALARIA,Sub-10,Ranbaxy Fine Chemicals Limited,Medicine P 100mg,Type-5,Brand-J,50mg,Capsule,120,6537,28292.01,43.18,5.94,Matrix,Yes,2015-03-27,2015-05-24,2015-05-24,2015-05-28,0,7596.15,4491.19,282.92,2015,5,2,May
3111,PC-81853,PQ,PO682570,ASN86574,Nigeria,PMO - SA,Direct Drop,CIF,Truck,ANTIMALARIALS,Sub-11,Cipla Ltd.,Medicine Q 100mg,Type-6,Brand-A,100mg,Tablet,100,7013,61381.62,299.73,1.33,Ranbaxy,Yes,2015-09-12,2015-11-05,2015-11-08,2015-11-11,3,6516.89,6343.68,613.82,2015,11,4,November
3112,PC-74046,PQ,PO498115,ASN35933,Côte d'Ivoire,PMO - SA,Direct Drop,FCA,Air Charter,ANTIMALARIA,Sub-12,Ranbaxy Fine Chemicals Limited,Medicine R 100mg,Type-7,Brand-B,200mg,Capsule,100,1660,84817.33,356.81,0.85,Cipla,Yes,2015-09-15,2015-11-04,2015-10-30,2015-10-31,-5,1266.07,8032.17,848.17,2015,10,4,October
3113,PC-59678,PQ,PO915014,ASN55020,Zimbabwe,PMO - NG,Direct Drop,FCA,Ocean,HRDT,Sub-13,Ranbaxy Fine Chemicals Limited,Medicine S 100mg,Type-8,Brand-C,200mg,Tablet,100,3877,83866.41,42.56,2.04,Matrix,No,2015-01-28,2015-04-04,2015-04-04,2015-04-07,0,4259.6,2252.76,838.66,2015,4,2,April
3114,PC-36649,PQ,PO691759,ASN39236,Côte d'Ivoire,PMO - SA,From RDC,CIF,Ocean,ARV,Sub-14,Ranbaxy Fine Chemicals Limited,Medicine T 100mg,Type-9,Brand-D,500mg,Capsule,90,6302,17547.99,331.27,7.9,Matrix,No,2015-02-24,2015-05-05,2015-05-12,2015-05-14,7,6363.79,8605.18,175.48,2015,5,2,May
3115,PC-98668,PQS,PO747801,ASN68735,Côte d'Ivoire,PMO - NG,From RDC,EXW,Ocean,ANTIMALARIALS,Sub-15,"Aurobindo Unit III, India",Medicine U 100mg,Type-10,Brand-E,500mg,Tablet,30,7885,65819.03,402.97,9.28,Cipla,Yes,2015-09-05,2015-12-01,2015-12-02,2015-12-05,1,2479.06,2039.94,658.19,2015,12,4,December
3116,PC-92325,PQ,PO273285,ASN19770,Côte d'Ivoire,PMO - NG,From RDC,CIF,Air,Emergency,Sub-16,Cipla Ltd.,Medicine V 100mg,Type-11,Brand-F,50mg,Capsule,90,2666,60625.63,416.81,3.4,Cipla,No,2015-06-15,2015-07-22,2015-07-25,2015-07-29,3,2224.8,4689.49,606.26,2015,7,3,July
3117,PC-24567,PQS,PO731866,ASN79285,South Africa,PMO - US,From RDC,DDP,Air Charter,ANTIMALARIALS,Sub-17,Cipla Ltd.,Medicine W 100mg,Type-12,Brand-G,50mg,Solution,90,7956,28916.47,25.62,9.75,Cipla,Yes,2015-07-10,2015-10-02,2015-10-02,2015-10-05,0,6628.71,48546.97,289.16,2015,10,4,October
3118,PC-90404,PQ,PO962303,ASN45271,Haiti,PMO - NG,Direct Drop,CIF,Ocean,HRDT,Sub-18,Hetero Unit III India,Medicine X 100mg,Type-13,Brand-H,200mg,Solution,90,7119,39753.94,350.22,8.11,Cipla,Yes,2015-04-04,2015-06-20,2015-06-27,2015-06-27,7,6671.72,8310.55,397.54,2015,6,2,June
3119,PC-99906,PQ,PO707493,ASN83391,Haiti,PMO - SA,From RDC,FCA,Ocean,ANTIMALARIALS,Sub-19,Cipla Ltd.,Medicine Y 100mg,Type-14,Brand-I,200mg,Tablet,60,1867,29226.19,399.5,2.34,Ranbaxy,Yes,2015-03-07,2015-04-22,2015-04-25,2015-04-26,3,1061.98,1094.93,292.26,2015,4,2,April
3120,PC-71944,PQS,PO960513,ASN33439,South Africa,PMO - NG,From RDC,EXW,Ocean,ANTIMALARIALS,Sub-20,Matrix Laboratories,Medicine Z 100mg,Type-15,Brand-J,200mg,Tablet,90,1420,54169.45,201.43,5.9,Hetero Unit III,No,2015-05-01,2015-06-12,2015-06-26,2015-06-28,14,1412.42,1219.07,541.69,2015,6,2,June
3121,PC-88002,PQS,PO992215,ASN21101,South Africa,PMO - US,Direct Drop,FCA,Ocean,HRDT,Sub-1,Cipla Ltd.,Medicine A 100mg,Type-1,Brand-A,100mg,Capsule,30,4044,80559.11,273.71,9.82,Aurobindo Unit III,No,2015-04-03,2015-05-09,2015-05-09,2015-05-09,0,1449.68,1824.41,805.59,2015,5,2,May
3122,PC-38803,PQ,PO334631,ASN92319,South Africa,PMO - US,From RDC,FCA,Ocean,Safety,Sub-2,Matrix Laboratories,Medicine B 100mg,Type-2,Brand-B,500mg,Solution,100,5511,87872.83,136.23,8.5,Ranbaxy,Yes,2015-09-13,2015-11-07,2015-11-12,2015-11-14,5,5345.02,5868.89,878.73,2015,11,4,November
3123,PC-28230,PQS,PO183805,ASN54917,Haiti,PMO - SA,From RDC,EXW,Air Charter,HIV test,Sub-3,Ranbaxy Fine Chemicals Limited,Medicine C 100mg,Type-3,Brand-C,500mg,Capsule,60,7251,72559.54,158.57,3.7,Cipla,Yes,2015-02-14,2015-04-18,2015-04-13,2015-04-15,-5,5053.9,24975.99,725.6,2015,4,2,April
3124,PC-27862,PQS,PO224698,ASN93459,Uganda,PMO - NG,From RDC,DDP,Air,HRDT,Sub-4,Matrix Laboratories,Medicine D 100mg,Type-4,Brand-D,200mg,Tablet,90,6008,48861.59,253.3,3.13,Matrix,Yes,2015-09-25,2015-11-28,2015-12-01,2015-12-05,3,5967.29,27682.31,488.62,2015,12,4,December
3125,PC-53355,PQS,PO268902,ASN90562,Côte d'Ivoire,PMO - SA,Direct Drop,EXW,Ocean,ANTIMALARIALS,Sub-5,"Aurobindo Unit III, India",Medicine E 100mg,Type-5,Brand-E,200mg,Capsule,90,8574,95851.43,79.81,8.21,Ranbaxy,Yes,2015-09-02,2015-10-27,2015-10-27,2015-10-28,0,7450.1,7703.65,958.51,2015,10,4,October
3126,PC-41259,PQ,PO110712,ASN51196,Uganda,PMO - SA,Direct Drop,EXW,Air,Emergency,Sub-6,Ranbaxy Fine Chemicals Limited,Medicine F 100mg,Type-6,Brand-F,500mg,Solution,100,4792,56824.02,188.41,5.54,,Yes,2015-06-04,2015-08-14,2015-08-13,2015-08-15,-1,4491.13,20543.18,568.24,2015,8,3,August
3127,PC-97445,PQS,PO443671,ASN33569,Zimbabwe,PMO - NG,Direct Drop,CIF,Air,Emergency,Sub-7,,Medicine G 100mg,Type-7,Brand-G,50mg,Solution,100,6462,48376.12,154.21,1.72,Aurobindo Unit III,Yes,2015-04-03,2015-06-14,2015-06-17,2015-06-18,3,6776.77,15235.78,483.76,2015,6,2,June
3128,PC-40795,Non-PQ,PO751176,ASN51887,Haiti,PMO - US,From RDC,EXW,Ocean,HRDT,Sub-8,Ranbaxy Fine Chemicals Limited,Medicine H 100mg,Type-8,Brand-H,200mg,Solution,60,7144,85820.59,122.93,3.35,Ranbaxy,Yes,2015-07-15,2015-09-13,2015-09-08,2015-09-11,-5,4247.35,3097.62,858.21,2015,9,3,September
3129,PC-18770,PQS,PO856686,ASN30893,Zambia,PMO - SA,Direct Drop,CIF,Air,ANTIMALARIALS,Sub-9,"Aurobindo Unit III, India",Medicine I 100mg,Type-9,Brand-I,200mg,Solution,30,6104,19277.71,244.52,6.65,Matrix,Yes,2015-05-10,2015-07-12,2015-07-11,2015-07-14,-1,1868.14,5495.48,192.78,2015,7,3,July
3130,PC-21093,PQ,PO618680,ASN97971,Haiti,PMO - SA,Direct Drop,FCA,Air,ANTIMALARIA,Sub-10,Ranbaxy Fine Chemicals Limited,Medicine J 100mg,Type-10,Brand-J,50mg,Solution,60,3910,16629.96,420.15,1.62,,Yes,2015-04-12,2015-05-23,2015-05-23,2015-05-27,0,2731.1,12389.51,166.3,2015,5,2,May
3131,PC-56571,PQ,PO296437,ASN65304,Nigeria,PMO - US,From RDC,EXW,Truck,ANTIMALARIA,Sub-11,Ranbaxy Fine Chemicals Limited,Medicine K 100mg,Type-11,Brand-A,200mg,Tablet,100,6201,78471.7,124.92,7.02,Matrix,No,2015-03-31,2015-06-02,2015-06-03,2015-06-07,1,5774.62,5257.2,784.72,2015,6,2,June
3132,PC-10193,PQ,PO711473,ASN42399,Uganda,PMO - NG,Direct Drop,DDP,Ocean,ARV,Sub-12,Cipla Ltd.,Medicine L 100mg,Type-12,Brand-B,500mg,Capsule,30,926,87186.51,331.57,7.13,Hetero Unit III,Yes,2015-01-22,2015-02-25,2015-03-11,2015-03-15,14,255.47,324.74,871.87,2015,3,1,March
3133,PC-27569,PQ,PO461995,ASN35236,South Africa,PMO - NG,From RDC,CIF,Air,Safety,Sub-13,Hetero Unit III India,Medicine M 100mg,Type-13,Brand-C,500mg,Capsule,90,4103,8204.7,130.83,2.78,Matrix,Yes,2015-04-28,2015-07-01,2015-07-01,2015-07-02,0,3782.07,14173.67,82.05,2015,7,3,July
